pincode,place,state,district,lat,lng
700072,Sooterkin Street,West Bengal,Kolkata,22.5553,88.3558
700073,Kolkata University,West Bengal,Kolkata,22.5553,88.3558
700074,Dumdum Road,West Bengal,Kolkata,22.5553,88.3558
700075,Viveknagar (Kolkata),West Bengal,Kolkata,22.5553,88.3558
700076,Dakshineswar,West Bengal,North 24 Parganas,22.6557,88.3672
700077,Bediapara,West Bengal,Kolkata,22.5553,88.3558
700078,Haltu,West Bengal,Kolkata,22.5553,88.3558
700079,Italghacha,West Bengal,North 24 Parganas,22.4656,88.7803
700080,Jessore Road,West Bengal,Kolkata,22.5553,88.3558
700081,Rajbari Colony,West Bengal,North 24 Parganas,22.4656,88.7803
700082,K.P.Bazar (Kolkata),West Bengal,Kolkata,22.5553,88.3558
700083,Basudebpur,West Bengal,North 24 Parganas,22.4656,88.7803
700084,Garia Garden,West Bengal,South 24 Parganas,22.4607,88.3867
700085,K.G Bose Sarani,West Bengal,Kolkata,22.5553,88.3558
700086,Baghajatin,West Bengal,Kolkata,22.5553,88.3558
